Roll,Pitch,Yaw,Miscare,Time
4,-3,0,MoveRight_2s,0
4,-3,0,MoveRight_2s,0.02
5,-3,-1,MoveRight_2s,0.04
5,-3,-1,MoveRight_2s,0.06
5,-3,-1,MoveRight_2s,0.08
5,-3,-1,MoveRight_2s,0.1
6,-3,-1,MoveRight_2s,0.12
6,-3,-2,MoveRight_2s,0.14
5,-3,-2,MoveRight_2s,0.16
4,-2,14,MoveLeft_2s,103.38
4,-2,13,MoveLeft_2s,103.4
4,-2,13,MoveLeft_2s,103.42
4,-2,13,MoveLeft_2s,103.44
4,0,0,JumpNextRight,103.46
4,0,0,JumpNextRight,103.48
3,0,0,JumpNextRight,103.5
3,0,0,JumpNextRight,103.52
3,0,0,JumpNextRight,103.54
7,-11,12,RisVolume-down,294.28
7,-10,12,RisVolume-down,294.3
7,-10,12,RisVolume-down,294.32
7,-10,12,RisVolume-down,294.34
8,-10,12,RisVolume-down,294.36
7,-11,0,StartVideo,294.38
7,-10,0,StartVideo,294.4
7,-10,0,StartVideo,294.42
7,-10,0,StartVideo,294.44
7,-10,0,StartVideo,294.46
6,-10,0,StartVideo,294.48
6,-9,0,StartVideo,294.5
6,-19,-23,StopVideo,697.04
6,-19,-23,StopVideo,697.06
6,-19,-23,StopVideo,697.08
6,-19,-24,StopVideo,697.1
6,-19,-24,StopVideo,697.12
6,-19,-24,StopVideo,697.14
6,-19,-24,StopVideo,697.16
